Code,displ,country,tushare-code,cat,DBFile,TblName
000509.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000510.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000513.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000514.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000516.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000517.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000518.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000519.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000520.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000521.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000523.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000524.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000525.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000526.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000528.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000529.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000530.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000531.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000532.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000533.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000534.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000536.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000537.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000538.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000539.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000540.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
